id;name
0;Matrix (1999) · #16 of Top 250
1;Cadena perpetua (1994) · #1 of Top 250
2;El padrino (1972) · #2 of Top 250
3;El caballero oscuro (2008) · #3 of Top 250
4;La lista de Schindler (1993) · #6 of Top 250
5;El padrino (parte II) (1974) · #4 of Top 250
6;12 hombres sin piedad (1957) · #5 of Top 250
7;El señor de los anillos: El retorno del rey (2003) · #7 of Top 250
8;Pulp Fiction (1994) · #8 of Top 250
9;El club de la lucha (1999) · #12 of Top 250
10;Origen (2010) · #14 of Top 250
11;El señor de los anillos: La comunidad del anillo (2001) · #9 of Top 250
12;Forrest Gump (1994) · #11 of Top 250
13;El señor de los anillos: Las dos torres (2002) · #13 of Top 250
14;El bueno, el feo y el malo (1966) · #10 of Top 250
15;Uno de los nuestros (1990) · #17 of Top 250
